ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VD,18567776,301014,"GD Sveti Vid, Sveti Vid 5",,19.12,2022/08/31,2022/08/31,301014,,V,458370,79487
VD,18567784,301016,"GD Žerovnica, Žerovnica 2a",,10.27,2022/08/31,2022/08/31,301016,,V,455748,66296
VD,18567792,301018,"GD Gorenje Jezero, Gorenje Jezero 32",,15.83,2022/08/31,2022/08/31,301018,,V,453328,65066
VD,18567806,301020,"Ana Žnidaršič, Bločice 5",,8.5,2022/08/31,2022/08/31,301020,,V,457528,69456
VD,18567814,301037,"Medgen.center Gaber, C. 19. oktobra 49, Stari trg",,32.46,2022/09/05,2022/09/05,301037,,V,458701,63945
VD,18567822,301038,"Okrepčevalnica Lož, C. 19. oktobra 54, Stari trg",,10.16,2022/09/05,2022/09/05,301038,,V,458648,65256
VD,18567857,301043,"Večnamenski objekt Babno Polje, Babno Polje 82",,16.32,2022/09/05,2022/09/05,301043,,V,464768,56166
VD,18567865,301045,"GD Velike Bloke, Velike Bloke 22",,16.23,2022/08/31,2022/08/31,301045,,V,458158,74676
VD,18567881,301049,"Kraševec Bojan, Studenec na Blokah 12a",,14.08,2022/08/31,2022/08/31,301049,,V,464348,70236
VD,18567890,301006,"OŠ J. Krajca Rakek, Partizanska c. 28, Rakek",,1.54,2022/08/31,2022/08/31,301006,,V,446988,75106
VD,18567911,301040,"Gostišče Mlakar, Markovec 15a",,17.09,2022/08/31,2022/08/31,301040,,V,460438,63766
VD,18567920,301001,"Občina Cerknica, C. 4. maja 53, Cerknica",,1.07,2022/08/31,2022/08/31,301001,,V,450155,72933
VD,18567938,301002,"UE Cerknica, C. 4. maja 24, Cerknica",,7.49,2022/08/31,2022/08/31,301002,,V,451148,72536
VD,18567962,301008,"GD Unec, Unec 14",,12.61,2022/08/31,2022/08/31,301008,,V,447708,68916
VD,18567989,301010,"GD Bezuljak, Bezuljak 21a",,33.8,2022/08/31,2022/08/31,301010,,V,450548,78886
VD,18567997,301013,"GD Gorenje Otave, Gorenje Otave 4",,10.23,2022/08/31,2022/08/31,301013,,V,454519,80026
VD,18568004,301015,"GD Cajnarje, Hruškarje 16",,10.85,2022/08/31,2022/08/31,301015,,V,456428,75376
VD,18568012,301017,"GD Martinjak, Martinjak 1b",,4.22,2022/08/31,2022/08/31,301017,,V,453498,70866
VD,18568047,301039,"POŠ Iga vas, Iga vas 1",,90.78,2022/08/31,2022/08/31,301039,,V,459428,62106
VD,18568063,301044,"OŠ Nova vas, Nova vas 4b",,27.53,2022/08/31,2022/08/31,301044,,V,462908,67246
VD,18568071,301047,"VD Sveta Trojica, Sveta Trojica bš",,17.25,2022/08/31,2022/08/31,301047,,V,460889,74616
VD,18568080,301019,"POŠ 11. maj Grahovo, Grahovo 120",,7.03,2022/08/31,2022/08/31,301019,,V,455088,70136
VD,18677822,610003,GALERIJA DELAVSKEGA DOMA HRASTNIK,,0.03,2021/05/25,2021/06/02,610003,,V,506360,111755
