ENOTA,SL_MID,SL_ID,SL_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
SL,17248928,19013,Podružnična šola Vreme,26.78,1998/12/08,1998/12/22,V,423938,57726
SL,17249240,136012,Podružnična šola Podnanos,5.47,1999/06/22,1999/06/22,V,424058,69626
SL,17259954,111020,Osnovna šola Srečka Kosovela Sežana,125.81,2004/06/24,2004/06/24,V,412438,71817
SL,17259962,111021,Podružnična šola Lokev,18.35,2005/04/28,2005/04/28,V,416129,58796
SL,17259989,111010,Osnovna šola Dutovlje,26.31,2004/06/24,2004/06/24,V,409758,68687
SL,17260456,111012,podružnična šola Tomaj,18.05,2005/04/28,2005/04/28,V,411938,67867
SL,17260464,111011,Podružnična šola Pliskovica,25,2005/04/28,2005/04/28,V,406928,70617
SL,17260472,49010,"OŠ Antona Šibelja - Stjenka, Komen",72.69,2005/04/28,2005/04/28,V,402918,75877
SL,17260499,49011,Podružnična osnovna šola Štanjel,30.98,2005/04/28,2005/04/28,V,407838,75557
SL,17358219,192010,OŠ Žirovnica,42.56,1999/09/21,1999/09/21,V,433720,140858
SL,17358235,53010,Osnovna šola Kranjska Gora,145.11,1999/11/05,1999/11/08,V,406879,150238
SL,17358243,53020,OŠ 16.decembra Mojstrana,111.32,1999/11/05,1999/11/08,V,418479,147468
SL,17358251,41010,Osnovna šola Koroška Bela,36.5,1999/11/05,1999/11/08,V,429830,143308
SL,17358260,41020,Osnovna šola Prežihov Voranc,6.03,1999/11/05,1999/11/08,V,427780,144528
SL,17358278,41030,Osnovna šola Tone Čufar,33.36,1999/11/05,1999/11/08,V,425830,146388
SL,17473450,117010,Osnovna šola Šenčur,16.79,1999/03/03,1999/03/05,V,455787,124495
SL,17473468,117011,Podružnična šola Olševek,8.86,1999/03/03,1999/03/05,V,455420,127407
SL,17473476,117012,Podružnična šola Trboje,5.29,1999/03/03,1999/03/05,V,454809,117577
SL,17473484,117013,Podružnična šola Voklo,9.36,1999/03/03,1999/03/05,V,455449,119627
SL,17473492,12010,Osnovna šola Davorina Jenka,59.47,1999/03/11,1999/03/11,V,458760,125837
SL,17473506,12011,Podružnična šola Zalog,18.51,1999/03/03,1999/03/05,V,464480,121577
SL,17473557,82010,Osnovna šola Naklo,9.91,1999/03/11,1999/03/11,V,447770,126487
SL,17473565,82011,Podružnična šola Duplje,8.69,1999/03/11,1999/03/11,V,446220,129107
SL,17473573,82012,Podružnična šola Podbrezje,9.63,1999/03/11,1999/03/11,V,443120,128427
SL,17473581,95010,Osnovna šola Matije Valjavca,34.19,1999/03/11,1999/03/11,V,453730,131527
SL,17473590,95011,Podružnična šola Kokra,52.82,1999/03/11,1999/03/11,V,461430,131287
SL,17473603,95012,Podružnična šola Jezersko,68.73,1999/03/12,1999/03/12,V,461290,139607
SL,17473611,131010,Osnovna šola Bistrica,14.44,1999/03/11,1999/03/11,V,445440,134597
SL,17473620,131011,Podružnična šola Kovor,6.6,1999/03/11,1999/03/11,V,444460,133877
SL,17473646,131020,Osnovna šola Križe,14.07,1999/03/11,1999/03/11,V,445470,133707
SL,17473654,131030,Osnovna šola Zali rovt,60.34,1999/03/11,1999/03/11,V,446810,136457
SL,17473662,131031,Podružnična šola Lom,23.09,1999/03/11,1999/03/11,V,448910,137167
SL,17473689,131032,Podružnična šola Podljubelj,36.83,1999/03/11,1999/03/11,V,445170,140057
SL,17473697,52040,Osnovna šola Stražišče Kranj,17,1999/03/11,1999/03/11,V,444049,119567
SL,17473719,52041,Podružnična šola Besnica,21.47,1999/03/11,1999/03/11,V,441569,125717
SL,17473727,52042,Podružnična šola Podblica,10.88,1999/03/11,1999/03/11,V,440239,124807
SL,17473735,52043,Podružnična šola Žabnica,16.47,1999/03/11,1999/03/11,V,447449,118107
SL,17473743,52050,Osnovna šola Orehek Kranj,5.42,1999/03/12,1999/03/12,V,450539,120877
SL,17473751,52051,Podružnična šola Mavčiče,11.27,1999/03/12,1999/03/12,V,453679,117657
SL,17473760,52060,Osnovna šola Matije Čopa Kranj,1.19,1999/03/12,1999/03/12,V,451049,122277
SL,17485571,52010,Osnovna šola Franceta Prešerna Kranj,4.29,2001/02/22,2001/02/22,V,450059,123607
SL,17485580,52011,Podružnična šola Kokrica,7.86,2001/02/21,2001/02/21,V,451020,126287
SL,17485598,52020,Osnovna šola Jakoba Aljaža Kranj,0.39,2001/02/22,2001/02/22,V,450819,121997
SL,17485610,52080,Osnovna šola Predoslje,10.75,2001/02/21,2001/02/21,V,451320,124997
SL,17485628,52030,Osnovna šola Simona Jenka Kranj,1.76,2001/02/22,2001/02/22,V,450879,123487
SL,17485644,52031,Podružnična šola Goriče,12.97,2022/01/07,2022/01/07,V,448380,129737
SL,17485652,52091,Podružnična šola Primskovo,4.45,2022/01/07,2022/01/07,V,450789,123067
SL,17485679,52032,Podružnična šola Trstenik,18.65,2022/01/07,2022/01/07,V,449690,128197
SL,17485687,52070,Osnovna šola Staneta Žagarja Kranj,5.68,2001/02/22,2001/02/22,V,450309,122297
SL,17517970,52090,Osnovna šola Janeza Puharja Kranj - Center,0.42,2022/01/07,2022/01/07,V,450299,122567
SL,17578235,3010,Osnovna šola Gorje,116.1,1999/03/08,1999/03/08,V,425299,138958
SL,17578243,3020,OŠ prof. dr. J. Plemlja Bled,18.49,1999/03/08,1999/03/08,V,431829,136948
SL,17578251,3021,Podružnična OŠ Bohinjska Bela,34.1,1999/03/08,1999/03/08,V,426369,134678
SL,17578260,3022,Podružnična OŠ Ribno,19.81,1999/03/08,1999/03/08,V,432069,132708
SL,17578278,4010,OŠ dr.J.Mencingerja Boh.Bistr.,232.27,1999/03/08,1999/03/08,V,419259,126588
SL,17578286,4011,Podruž. OŠ Srednja vas Bohinj,101.57,1999/03/08,1999/03/08,V,412809,129218
SL,17578294,102010,OŠ A. T. Linharta Radovljica,28.69,1999/03/08,1999/03/08,V,436269,133978
SL,17578308,102011,Podružnična OŠ Ljubno,6.47,1999/03/08,1999/03/08,V,441450,130717
SL,17578316,102012,Podružnična OŠ Mošnje,14.5,1999/03/08,1999/03/08,V,439140,133157
SL,17578324,102020,OŠ Frana S. Finžgarja Lesce,8.83,1999/03/08,1999/03/08,V,435250,136419
SL,17578332,102030,OŠ Staneta Žagarja Lipnica,14.25,1999/03/08,1999/03/08,V,438559,129467
SL,17578359,102031,Podružnična OŠ Ovsiše,14.36,1999/03/08,1999/03/08,V,441389,128167
SL,17578367,102999,Skupni okoliš 102010-102020,31.54,1999/03/08,1999/03/08,V,439419,138124
SL,17691708,128030,OŠ Simona Kosa Podbrdo,3.4,1999/03/11,1999/03/12,V,422559,117968
SL,17691902,146010,Osnovna šola Železniki,72.68,1999/03/30,1999/03/30,V,435131,120175
SL,17691929,146011,Podružnična šola Davča,21.69,1999/03/30,1999/03/30,V,425549,116007
SL,17691937,146012,Podružnična šola Dražgoše,19.7,1999/03/30,1999/03/30,V,435429,124287
SL,17691945,146013,Podružnična šola Selca,20,1999/03/30,1999/03/30,V,438399,121567
SL,17691953,146014,Podružnična šola Sorica,26.32,1999/03/30,1999/03/30,V,425089,120908
SL,17692402,27010,OŠ Ivana Tavčarja Gorenja vas,80.84,1999/07/28,1999/07/28,V,431309,107137
SL,17692437,27012,Podružnična šola Lučine,11.64,1999/07/28,1999/07/28,V,437829,102747
SL,17692445,27013,Podružnična šola Sovodenj,10.97,1999/07/28,1999/07/28,V,425679,105487
SL,17692453,27020,Osnovna šola Poljane,43.47,1999/07/28,1999/07/28,V,437199,109417
SL,17692461,27021,Podružnična šola Javorje,16.24,1999/07/28,1999/07/28,V,436129,113727
SL,17695878,147010,Osnovna šola Žiri,49.23,2004/09/29,2004/09/29,V,430989,101077
SL,17695886,122010,Osnovna šola Škofja Loka-Mesto,61.15,2014/02/03,2014/02/04,V,446199,114737
SL,17695894,122020,Osnovna šola Cvetka Golarja,17.3,2018/01/25,2018/01/25,V,447439,114507
SL,17695908,122021,Podružnična šola Reteče,9.3,2018/01/25,2018/01/25,V,449899,114177
SL,17695916,122030,Osnovna šola Ivana Groharja,14.88,2018/01/25,2018/01/25,V,445179,114907
SL,17695924,122031,Podružnična šola Tadeusz Sadowski Bukovica,13.97,2018/01/25,2018/01/25,V,440669,117077
SL,17695932,122032,Podružnična šola Bukovščica,7.89,2018/01/25,2018/01/25,V,443709,121287
SL,17695959,122033,Podružnična šola Sv. Lenart nad Lušo,11.67,2018/01/25,2018/01/25,V,439929,116447
SL,17801694,23010,OŠ Dob pri Domžalah,16.97,1999/01/12,1999/01/13,V,471269,112776
SL,17801708,23011,Podružnična šola Krtina,6.95,1999/01/12,1999/01/13,V,473099,112156
SL,17801716,23020,OŠ Domžale,2.23,1999/01/12,1999/01/13,V,469229,111866
SL,17801724,23021,Podružnična šola Ihan,10.41,1999/01/12,1999/01/13,V,470299,109056
SL,17801732,23030,OŠ Preserje pri Radomljah,17.77,1999/01/12,1999/01/13,V,471170,115756
SL,17801759,23040,OŠ Rodica - Domžale,3.55,1999/01/12,1999/01/13,V,468599,112986
SL,17801775,186010,OŠ Trzin,8.61,1999/01/12,1999/01/13,V,466399,110806
SL,17801783,23050,OŠ Venclja Perka - Domžale,7.46,1999/01/12,1999/01/13,V,468859,109626
SL,17801791,23060,Osnovna šola Dragomelj,6.94,2007/07/26,2007/07/26,V,468839,107776
SL,17801805,68010,OŠ J. Kersnika Brdo - Lukovica,29.24,1999/01/12,1999/01/13,V,476000,114356
SL,17801813,68011,Podružnična šola Blagovica,34.61,1999/01/12,1999/01/13,V,482710,115576
SL,17801821,68012,Podružnična šola Krašnja,10.98,1999/01/12,1999/01/13,V,480500,114406
SL,17801830,72010,OŠ Mengeš,22.44,1999/01/12,1999/01/13,V,466639,113737
SL,17801848,77011,Podružnična šola Vrhpolje,8.13,1999/01/12,1999/01/13,V,477549,109556
SL,17801856,77010,OŠ Jurija Vege - Moravče,53.23,1999/01/12,1999/01/13,V,480209,110796
SL,17911104,32010,OŠ Brinje Grosuplje,12.24,1999/03/24,1999/03/24,V,474029,91786
SL,17911112,32011,Podružnična šola Polica,20.27,1999/03/24,1999/03/24,V,476309,93656
SL,17911139,32020,OŠ Louisa Adamiča Grosuplje,10.66,1999/03/24,1999/03/24,V,472299,90686
SL,17911147,32030,OŠ Šmarje Sap,15.49,2017/04/13,2017/04/13,V,469229,93286
SL,17911155,32022,Podružnična šola Žalna,24.11,1999/03/24,1999/03/24,V,476739,87856
SL,17911163,32023,Podružnična šola Št. Jurij,30.14,1999/03/24,1999/03/24,V,469869,86686
SL,17911171,32024,Podružnična šola Kopanj,12.4,1999/03/24,1999/03/24,V,475949,84976
SL,17911180,20010,Osnovna šola Videm,46.64,1999/03/24,1999/03/24,V,476269,78776
SL,17911198,20011,Podružnična šola Ponikve,7.35,1999/03/24,1999/03/24,V,472559,79666
SL,17911201,20012,Podružnična šola Kompolje,12.02,1999/03/24,1999/03/24,V,477689,75256
SL,17911210,20013,Podružnična šola Struge,37.14,1999/03/24,1999/03/24,V,482618,71476
SL,17911228,39010,OŠ Stična,11.5,2020/07/10,2020/07/10,V,484719,88636
SL,17911236,39031,Podružnična šola Ambrus,26.91,2020/07/10,2020/07/10,V,486149,75445
SL,17911244,39032,Podružnična šola Krka,29.03,2020/07/10,2020/07/10,V,483389,81776
SL,17911252,39011,Podružnična šola Muljava,19.79,2020/07/10,2020/07/10,V,484379,84686
SL,17911279,39012,Podružnična šola Stična,24.78,2020/07/10,2020/07/10,V,484919,93356
SL,17911287,39013,Podružnična šola Višnja Gora,32.9,2020/07/10,2020/07/10,V,480019,90936
SL,17911295,39030,OŠ Zagradec,20.52,2020/07/10,2020/07/10,V,486919,80286
SL,17911309,39020,OŠ Šentvid pri Stični,28.78,1999/03/24,1999/03/24,V,488371,89019
SL,17911317,39021,Podružnična šola Hrastov Dol,12.11,1999/03/24,1999/03/24,V,489109,85296
SL,17911325,39022,Podružnična šola Temenica,16.63,1999/03/24,1999/03/24,V,491119,92806
SL,17911333,39999,Skupni ŠO 039022-130050,4.06,1999/03/24,1999/03/24,V,492629,90686
SL,17946889,32999,SK ŠO 032010 032030,0.94,2020/01/15,2020/01/15,V,472149,92136
SL,17946897,32998,SK ŠO 032020 032030,0.47,2020/01/15,2020/01/15,V,472209,91756
SL,17946919,32997,SK ŠO 032010 032020,0.08,2020/01/15,2020/01/15,V,473470,90860
SL,17946927,32996,SK ŠO 032022 032024,7.03,2020/01/15,2020/01/15,V,479019,82566
SL,18018861,43010,OŠ Frana Albrehta Kamnik,2.13,2015/02/10,2015/02/10,V,469980,120777
SL,18018870,43011,Podružnična šola Mekinje,3.23,1999/04/28,1999/04/28,V,470120,121897
SL,18018888,43012,Podružnična šola Nevlje,9.07,1999/04/28,1999/04/28,V,471570,121207
SL,18018896,43013,Podružnična šola Tunjice,7.79,1999/04/28,1999/04/28,V,467120,121717
SL,18018900,43014,Podružnična šola Vranja peč,8.98,1999/04/28,1999/04/28,V,473990,118966
SL,18018918,43020,OŠ Marije Vere,8.94,1999/04/28,1999/04/28,V,469370,117626
SL,18018926,43030,OŠ Stranje,94.68,1999/04/28,1999/04/28,V,469000,125547
SL,18018934,43031,Podružnična šola Gozd,19.9,1999/04/28,1999/04/28,V,474760,124606
SL,18018942,43040,OŠ Šmartno,28.27,1999/04/28,1999/04/28,V,478630,121236
SL,18018969,43041,Podružnična šola Motnik,21.73,1999/04/28,1999/04/28,V,490900,119436
SL,18018977,43042,Podružnična šola Sela,9.16,1999/04/28,1999/04/28,V,475440,122176
SL,18018985,43043,Podružnič. šola Zgornji Tuhinj,38.19,1999/04/28,1999/04/28,V,483780,120336
SL,18018993,43050,OŠ Toma Brejca,7.05,1999/04/28,1999/04/28,V,467780,119207
SL,18019019,164010,OŠ Komenda Moste,24.05,1999/04/28,1999/04/28,V,464430,118717
