ENOTA,NA_MID,NA_ID,NA_UIME,NA_DJ,OB_MID,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
NA,10132495,10,Raduše,,11027385,6.96,1995/01/01,1995/01/01,V,504431,148866
NA,10132509,7,Razborca,,11027113,9.13,1995/01/01,1995/01/01,V,513651,148016
NA,10132517,11,Sele,,11027385,11.42,2006/09/21,2006/09/26,V,501232,151487
NA,10132525,12,Slovenj Gradec,,11027385,5.6,1995/01/01,1995/01/01,V,506221,152136
NA,10132533,13,Spodnji Razbor,,11027385,10.44,1995/01/01,1995/01/01,V,503521,145136
NA,10132541,8,Srednji Dolič,,11027113,5.01,1995/01/01,1995/01/01,V,516901,142336
NA,10132550,14,Stari trg,,11027385,4.74,1995/01/01,1995/01/01,V,504591,152296
NA,10132568,9,Šentilj pod Turjakom,,11027113,1.73,1995/01/01,1995/01/01,V,514342,145487
NA,10132576,15,Šmartno pri Slovenj Gradcu,,11027385,5.86,1995/01/01,1995/01/01,V,508271,150146
NA,10132584,16,Šmiklavž,,11027385,3.99,1995/01/01,1995/01/01,V,509161,145566
NA,10132592,10,Tolsti Vrh pri Mislinji,,11027113,7.22,1995/01/01,1995/01/01,V,516630,144312
NA,10132606,17,Tomaška vas,,11027385,0.45,1995/01/01,1995/01/01,V,509561,148916
NA,10132614,18,Troblje,,11027385,3.8,1995/01/01,1995/01/01,V,506911,153956
NA,10132622,19,Turiška vas,,11027385,0.7,1995/01/01,1995/01/01,V,510021,148196
NA,10132649,20,Vodriž,,11027385,3.61,1995/01/01,1995/01/01,V,508451,145876
NA,10132657,21,Vrhe,,11027385,8.89,1995/01/01,1995/01/01,V,501981,153916
NA,10132665,11,Završe,,11027113,14.81,1995/01/01,1995/01/01,V,512431,142366
NA,10132673,22,Zgornji Razbor,,11027385,17.99,1995/01/01,1995/01/01,V,499131,147626
NA,10132681,1,Bojtina,,11027393,10,1995/01/01,1995/01/01,V,539631,147115
NA,10132690,1,Božje,,21427861,2.59,1998/11/22,1998/11/27,V,532311,141965
NA,10132703,2,Brezje pri Oplotnici,,21427861,3.14,1998/11/22,1998/11/27,V,532781,138355
NA,10132711,1,Brezje pri Poljčanah,,21436488,2.2,2006/04/06,2006/04/12,V,546111,130755
NA,10132720,5,Brezje pri Slov. Bistrici,,11027393,0.49,1995/01/01,1995/01/01,V,549401,135105
NA,10132738,6,Bukovec,,11027393,2.16,1995/01/01,1995/01/01,V,548231,144085
NA,10132746,7,Cezlak,,11027393,0.32,1995/01/01,1995/01/01,V,533751,142035
NA,10132754,8,Cigonca,,11027393,8.45,1995/01/01,1995/01/01,V,542931,137185
NA,10132762,3,Čadram,,21427861,1.28,1998/11/22,1998/11/27,V,535301,138955
NA,10132789,2,Čadramska vas,,21436488,0.66,2006/04/06,2006/04/12,V,543961,129905
NA,10132797,11,Črešnjevec,,11027393,6.01,1995/01/01,1995/01/01,V,547202,137319
NA,10132819,12,Devina,,11027393,1.45,1995/01/01,1995/01/01,V,544311,141045
NA,10132827,1,Dežno pri Makolah,,21436461,6.07,2006/04/06,2006/04/12,V,553261,130904
NA,10132835,4,Dobriška vas,,21427861,1.05,1998/11/22,1998/11/27,V,535031,136085
NA,10132843,5,Dobrova pri Prihovi,,21427861,1.28,1998/11/22,1998/11/27,V,536301,136105
NA,10132851,16,Dolgi Vrh,,11027393,0.93,1995/01/01,1995/01/01,V,543231,132865
NA,10132860,17,Drumlažno,,11027393,0.4,1995/01/01,1995/01/01,V,548041,132885
NA,10132878,18,Farovec,,11027393,1,1995/01/01,1995/01/01,V,548451,133365
NA,10132886,19,Fošt,,11027393,0.97,1995/01/01,1995/01/01,V,537831,140405
NA,10132894,20,Frajhajm,,11027393,14.77,1995/01/01,1995/01/01,V,541631,147555
NA,10132908,21,Gabernik,,11027393,1.97,1998/11/01,1998/11/16,V,545331,143085
NA,10132916,22,Gaj,,11027393,1.77,1995/01/01,1995/01/01,V,551731,140135
NA,10132924,23,Gladomes,,11027393,2.07,1995/01/01,1995/01/01,V,538247,138981
NA,10132932,3,Globoko ob Dravinji,,21436488,0.93,2006/04/06,2006/04/12,V,549791,130595
NA,10132959,6,Gorica pri Oplotnici,,21427861,0.73,1998/11/22,1998/11/27,V,533481,138595
NA,10132967,26,Hošnica,,11027393,2.86,1995/01/01,1995/01/01,V,545501,132115
NA,10132975,4,Hrastovec pod Bočem,,21436488,5.98,2006/04/06,2006/04/12,V,550272,128641
NA,10132983,2,Jelovec pri Makolah,,21436461,3.48,2006/04/06,2006/04/12,V,551831,129914
NA,10132991,29,Ješovec,,11027393,0.65,1995/01/01,1995/01/01,V,548611,132625
NA,10133009,30,Jurišna vas,,11027393,2.7,1995/01/01,1995/01/01,V,540111,142585
NA,10133017,31,Kalše,,11027393,5.11,1995/01/01,1995/01/01,V,543861,144815
NA,10133025,32,Kebelj,,11027393,1.64,1995/01/01,1995/01/01,V,534991,141375
