ENOTA,UL_MID,UL_ID,UL_UIME,UL_DJ,NA_MID,OB_MID,D_OD,DV_OD,STATUS
UL,16210455,14,Cesta v Bonovec,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210463,9,Cesta na Senico,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210471,10,Cesta na Svetje,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210480,11,Cesta ob Sori,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210498,12,Cesta ob železnici,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210501,13,Cesta talcev,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210510,15,Cesta v Žlebe,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210528,16,Čarmanova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210536,17,Čelesnikova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210544,18,Dimčeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210552,19,Dobnikarjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210579,20,Donova cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210587,21,Finžgarjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210595,22,Gorenjska cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210609,23,Grajzerjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210617,24,Hrastarjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210625,25,Iztokova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210633,26,Jamnikova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210641,27,Kalanova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210650,28,Kebetova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210668,29,Klanska ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210676,31,Kuraltova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210684,32,Kurirska cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210692,30,Kržišnikova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210706,33,Medvoška cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210714,34,Na Čerenu,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210722,35,Na Labornici,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210749,36,Ostrovrharjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210757,37,Podvizova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210765,38,Preška cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210773,39,Seškova cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210781,44,Štalčeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210790,40,Šetinova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210803,41,Škofjeloška cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210811,42,Šlosarjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210820,43,Šmalčeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210838,45,Tehovnikova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210846,46,Trampuževa ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210854,47,Trilerjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210862,48,Turkova ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210889,49,Ulica Ivanke Ovijač,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210897,50,Ulica k studencu,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210919,51,Ulica ob gozdu,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210927,52,Ulica Simona Jenka,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210935,53,Višnarjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210943,54,Zbiljska cesta,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210951,55,Žontarjeva ulica,,10110688,11027890,1995/01/01,1995/01/01,V
UL,16210960,1,Brniška cesta,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16210978,2,Franca Seška cesta,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16210986,3,Jegriše,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16210994,9,Lebarška pot,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211010,5,Kmetijska ulica,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211028,11,Lokarje,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211036,4,Kamniška cesta,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211044,6,Kocljeva ulica,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211052,7,Kopitarjev trg,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211079,8,Krvavška ulica,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211087,12,Na Dole,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211095,13,Nova ulica,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211117,15,Ob hribu,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211125,16,Ob jami,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211133,17,Ob šoli,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211141,20,Pustnice,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211150,18,Pirčeva ulica,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211168,19,Pot na Črno,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211176,21,Škofjeloška cesta,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211184,22,Vodiška cesta,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211192,23,Vogljanska cesta,,10111013,11027644,1995/01/01,1995/01/01,V
UL,16211206,1,Borštnarjeva pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211214,13,Na Brezno,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211222,2,Brezoviška cesta,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211249,3,Brežna pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211257,4,Cesta na postajo,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211265,5,Cesta v Log,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211273,6,Debevčeva pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211281,7,Drobtinška pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211290,8,Gornja pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211303,9,Jevčeva pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211311,10,Kapalniška pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211320,11,Komarijska pot,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211338,12,Malovaška ulica,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211346,14,Na Lazih,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211354,7,Na Lazih,,10113059,11026591,1995/01/01,1995/01/01,V
UL,16211362,8,Podpeška cesta,,10112141,11026591,1995/01/01,1995/01/01,V
UL,16211389,13,Podpeška cesta,,10113059,11026591,1995/01/01,1995/01/01,V
UL,16211397,15,Podpeška cesta,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211419,16,Podsvetija,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211427,17,Poštna ulica,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211435,18,Pot terencev,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211443,26,V Radno,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211451,19,Remškarjeva cesta,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211460,20,Sodnikarjeva ulica,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211478,21,Starovaška cesta,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211486,22,Šolska ulica,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211494,24,Ulica Ivana Selana,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211508,25,Ulica Jožeta Kopitarja,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211516,27,Za grabnom,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211524,20,Za grabnom,,10113059,11026591,1995/01/01,1995/01/01,V
UL,16211532,28,Založnikova ulica,,10111242,11026591,1995/01/01,1995/01/01,V
UL,16211559,23,Tržaška cesta,,10111242,11026591,2002/12/04,2002/12/09,V
