ENOTA,ODO_MID,ODO_ID,ODO_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
CK,16530956,70601,Bresternica-Gaj,31.13,1997/07/01,1997/07/01,V,544262,159065
CK,16530964,115601,Brunšvik,3.12,1997/07/01,1997/07/01,V,555751,144654
CK,16531006,98601,Fram,29.81,1997/07/01,1997/07/01,V,548351,146485
CK,16531081,70604,Kamnica,18.54,1997/07/01,1997/07/01,V,547022,159625
CK,16531103,70605,Limbuš,9.14,1997/07/01,1997/07/01,V,542992,156045
CK,16531111,70606,Malečnik-Ruperče,17.02,1997/07/01,1997/07/01,V,553182,159174
CK,16531120,115603,Marjeta-Trniče,8.09,1997/07/01,1997/07/01,V,556371,146274
CK,16531162,70609,Pekre,10.03,1997/07/01,1997/07/01,V,545379,156185
CK,16531189,89603,Pernica,17.82,1997/07/01,1997/07/01,V,554739,162230
CK,16531197,115604,Prepolje,5.13,1997/07/01,1997/07/01,V,558761,145494
CK,16531227,98602,Rače,21.49,1997/07/01,1997/07/01,V,552331,146135
CK,16531243,70610,Razvanje,5.52,1997/07/01,1997/07/01,V,548672,152825
CK,16531294,115605,Starše,4.57,1997/07/01,1997/07/01,V,558961,147724
CK,16531316,115606,Zlatoličje,7.22,1997/07/01,1997/07/01,V,560691,146584
CK,16531324,118601,Ceršak,14.83,1997/07/01,1997/07/01,V,553942,170274
CK,16531332,89602,Jarenina,15.89,1997/07/01,1997/07/01,V,553112,169154
CK,16531359,89604,Pesnica pri Mariboru,18.95,1997/07/01,1997/07/01,V,551429,163585
CK,16531367,118602,Sladki Vrh,11.62,1997/07/01,1997/07/01,V,558683,167320
CK,16531383,118603,Šentilj,17.87,1997/07/01,1997/07/01,V,550282,170985
CK,16531391,118604,Velka,20.69,1997/07/01,1997/07/01,V,559732,169524
CK,16531464,34601,Boben,4.47,1997/07/01,1997/07/01,V,507130,114485
CK,16531472,34604,Rudnik,3.6,1997/07/01,1997/07/01,V,506650,112015
CK,16531600,7601,Medana,3.29,1997/07/01,1997/07/01,V,385448,94988
CK,16531618,53601,Dovje - Mojstrana,111.32,1997/07/01,1997/07/01,V,419379,148078
CK,16531634,119601,Orehovica,28.48,1997/07/01,1997/07/01,V,521969,79015
CK,16531669,83603,Kokarje,14.54,1997/07/01,1997/07/01,V,494430,129016
CK,16531693,124601,Kristan vrh,7.3,1997/08/28,1997/08/28,V,545330,120555
CK,16531707,124603,Dol - Sp. Mestinje,1.6,1997/08/28,1997/08/28,V,544940,117925
CK,16532053,146606,Dolenja vas,4.45,1997/07/01,1997/07/01,V,440234,119783
CK,16532070,132603,Nedelica,4.96,1997/07/01,1997/07/01,V,602796,164146
CK,16532088,132604,Renkovci,4.52,1997/07/01,1997/07/01,V,598898,167361
CK,16532487,60606,Krajevna skupnost Konjšica,9.12,2004/04/14,2004/04/14,V,497830,106396
CK,16532614,17608,KS Sinji Vrh,23.42,2022/09/21,2022/09/21,V,513078,34625
CK,16532932,90607,Sv. Peter,4.06,1997/07/01,1997/07/01,V,397127,37137
CK,16532959,90608,Padna,2.94,1997/07/01,1997/07/01,V,397157,39907
CK,16533050,194607,Krajevna skupnost Javorje,5.5,2004/02/10,2004/02/10,V,487939,95896
CK,16533084,33604,Domanjševci,11.58,1997/07/01,1997/07/01,V,598312,183523
CK,16533092,105602,Sveti Jurij,3.92,1997/07/01,1997/07/01,V,579103,184793
CK,16533203,63601,Krištanci-Šalinci-Grlava,4.23,1997/07/01,1997/07/01,V,589832,158283
CK,16533220,43607,Motnik,11.17,1997/07/01,1997/07/01,V,492510,120026
CK,16533238,43611,Sela pri Kamniku,10.04,1997/07/01,1997/07/01,V,476890,122156
CK,16533246,43619,Vranja Peč,8.98,1997/07/01,1997/07/01,V,472930,119286
CK,16533254,43625,Zaprice,0.43,1997/07/01,1997/07/01,V,469010,119997
CK,16533289,50602,Bertoki,6.02,1997/07/01,1997/07/01,V,404327,44987
CK,16533297,50607,Gradin,28.29,1997/07/01,1997/07/01,V,408117,33706
CK,16533319,50611,Sv. Anton,7.06,1997/07/01,1997/07/01,V,409027,43567
CK,16533327,50617,Olmo-Prisoje,6.43,1997/07/01,1997/07/01,V,399657,43237
CK,16533335,52603,Britof,2.23,1997/07/01,1997/07/01,V,452950,125217
CK,16533343,52619,Predoslje,7.73,1997/07/01,1997/07/01,V,452370,124807
CK,16533351,117605,Voglje,6.52,1997/07/01,1997/07/01,V,456439,119647
CK,16533360,52623,Čirče,2.15,1997/07/01,1997/07/01,V,451509,121287
CK,16533378,54603,Gora,9.24,1997/07/01,1997/07/01,V,534079,91385
CK,16533386,54607,Leskovec pri Krškem,18.73,1997/07/01,1997/07/01,V,535569,86665
CK,16533394,54616,Veliki Podlog,14.9,1997/07/01,1997/07/01,V,537219,84635
CK,16533408,57605,Rečica,21.16,2022/09/22,2022/09/22,V,515860,114815
CK,16533467,60604,Krajevna skupnost Hotič,7.25,2004/04/14,2004/04/14,V,484989,106896
CK,16533475,60608,Krajevna skupnost Polšnik,35.04,2004/04/14,2004/04/14,V,496980,103166
CK,16533483,10603,Tišina,27.54,1997/07/01,1997/07/01,V,584012,168203
CK,16533505,31601,Šulinci,34.62,1997/07/01,1997/07/01,V,589813,189503
CK,16533513,84602,Krajevna skupnost Branik,21.18,2014/09/03,2014/09/03,V,409078,78767
CK,16533521,84605,Krajevna skupnost Gradišče,1.73,2014/09/03,2014/09/03,V,399178,83987
CK,16533530,44607,Lig,18.43,1997/07/01,1997/07/01,V,392478,106958
CK,16533556,84614,Krajevna skupnost Prvačina,4.58,2014/09/03,2014/09/03,V,400898,83907
CK,16533564,84617,Krajevna skupnost Solkan,8.5,2014/09/03,2014/09/03,V,393328,96907
CK,16533572,84619,Krajevna skupnost Trnovo,25.75,2014/09/03,2014/09/03,V,404788,95247
CK,16533602,85612,Krajevna skupnost Podgrad,35.34,2013/03/12,2013/03/12,V,513359,65705
CK,16533637,85621,Krajevna skupnost Žabja vas,1.13,2013/03/12,2013/03/12,V,514229,73555
CK,16533645,124607,Tinsko,5.47,1997/07/01,1997/07/01,V,542470,115085
CK,16533653,124609,Zibika,11.29,1997/07/01,1997/07/01,V,541200,117165
CK,16533661,128603,Dolenja Trebuša,30.22,1997/07/01,1997/07/01,V,410218,106672
CK,16533670,128606,Kamno - Selce,10.06,1997/07/01,1997/07/01,V,395838,120768
CK,16533688,128609,Most na Soči,18.71,1997/07/01,1997/07/01,V,402508,111888
CK,16533696,128616,Slap ob Idrijci,7.15,1997/07/01,1997/07/01,V,407608,109627
CK,16533718,115602,Loka-Rošnja,6.1,1997/07/01,1997/07/01,V,556031,150024
CK,16533769,89601,Jakobski Dol,23.22,1997/07/01,1997/07/01,V,556332,164044
CK,16533785,34603,Steklarna,4.09,1997/07/01,1997/07/01,V,506630,108905
CK,16533840,132602,Gomilica,6.31,1997/07/01,1997/07/01,V,600605,163066
CK,16565750,114601,Bezina,3.81,1998/01/14,1998/01/20,V,533301,135495
CK,16565768,114602,Vešenik-Brdo,2.06,1998/01/14,1998/01/20,V,533701,134365
CK,16565776,114603,Draža vas,2.45,1998/01/14,1998/01/20,V,537051,132425
CK,16565784,114604,Dobrava-Gabrovlje,0.82,1998/01/14,1998/01/20,V,531275,134485
CK,16565792,114605,Jernej,14,1998/01/14,1998/01/20,V,540401,132795
CK,16565806,114606,Konjiška vas,6.85,1998/01/14,1998/01/20,V,534401,132715
CK,16565814,114607,Loče,13.64,1998/01/14,1998/01/20,V,538061,129275
CK,16565822,114608,Polene,2.9,2010/09/07,2010/09/07,V,529811,134005
CK,16565849,114609,Slovenske Konjice,10.45,1998/01/14,1998/01/20,V,532451,133315
CK,16565857,114610,Sojek-Kamna gora,5.08,1998/01/14,1998/01/20,V,529151,131635
CK,16565865,114611,Spodnje Grušovje,2.85,1998/01/14,1998/01/20,V,538531,134175
CK,16565873,114612,Špitalič,12.31,1998/01/14,1998/01/20,V,531831,130025
CK,16565881,114613,Tepanje,5.03,1998/01/14,1998/01/20,V,536381,133935
CK,16565890,114614,Zbelovo,7.93,1998/01/14,1998/01/20,V,540502,127714
CK,16565903,114615,Zeče,2.84,1998/01/14,1998/01/20,V,530611,134165
CK,16565911,114616,Žiče,4.67,1998/01/14,1998/01/20,V,537046,130301
CK,16566039,144601,Gorenje,15.4,1998/01/14,1998/01/20,V,530191,141535
CK,16566047,144602,Dobrovlje,1.48,1998/01/14,1998/01/20,V,530801,135405
CK,16566055,144603,Resnik,12.11,1998/01/14,1998/01/20,V,527761,144165
CK,16566063,144604,Skomarje,7.78,1998/01/14,1998/01/20,V,526171,141515
CK,16566071,144605,Stranice,16.06,1998/01/14,1998/01/20,V,528131,136045
CK,16566080,144606,Zreče,14.17,1998/01/14,1998/01/20,V,529861,137375
CK,16687570,120602,Vrbno - podgrad,3.53,2006/08/16,2006/08/17,V,528080,120175
CK,16687634,120612,Grobelno,7.77,2006/08/16,2006/08/17,V,534573,117585
CK,16687812,120613,Dolga gora,2.79,2006/08/16,2006/08/17,V,538831,126395
CK,16785644,107601,Dobovec,18.48,2022/09/22,2022/09/22,V,558150,121964
CK,16785652,107602,Donačka gora,14.77,1997/08/28,1997/08/28,V,556380,124504
CK,16785679,107603,Rogatec,6.25,1997/08/28,1997/08/28,V,552660,121164
CK,16804819,124610,Lemberg,2.8,2002/10/22,2002/10/28,V,543130,124795
CK,16812862,92608,OLIMJE,10.44,2014/11/19,2014/11/19,V,543960,112825
CK,16897426,127601,Svetina,11.63,1998/07/29,1998/07/29,V,525000,116835
CK,16897442,139602,Frankolovo,21.3,1998/07/29,1998/07/30,V,524221,135545
CK,16897469,139603,Nova Cerkev,23.44,1998/07/29,1998/07/30,V,520341,134735
CK,16897477,139604,Vojnik,30.61,1998/07/29,1998/07/30,V,523510,128215
